,Job Descriptions
2046,django developer designation django developer experience 2 6 yr qualification it graduate expert python core programming expert python django flask framework salary negotiable job location bangalore notice period immediately job type time salary  31241800  135272800 year schedule day shift experience python django 2 year preferred django 2 year preferred total work 2 year preferred education bachelor preferred work remotely
2047,wordpress developer knowledge wordpress theme customization dynamic content profoundly experience php end programming language 1 2 year experience different php cms like wordpress drupal joomla knowledge sass scss know versione tool git mercurial svn experience desktop mobile knowledge server language experience cloud message api usage push notification expect start date 1462020 job types time contract fresher salary  2000000  2500000 month experience wordpress 1 year preferred work 1 year preferred total work 1 year preferred education bachelor preferred work remotely temporarily covid19
2048,backend developer introduction application developer lead ibm future translate system requirement design development customize system agile environment success ibm hand transform vital business need code drive innovation work power ibm client globally collaborate integrate code enterprise system access late education tool technology limitless career path world technology leader come ibm global impact role responsibility position need professional following experience professional capable receive development demand deliver start finish product relate software development ability develop solution requirement datum modeling datum structuring architecture implementation communication server database internal external service experience agile methodology preferably scrum understand different type software requirement knowledge object orient programming knowledge software architecture knowledge application server knowledge relational non relational database require technical professional expertise position need professional following experience professional capable receive development demand deliver start finish product relate software development ability develop solution requirement datum modeling datum structuring architecture implementation communication server database internal external service experience agile methodology preferably scrum understand different type software requirement knowledge object orient programming knowledge software architecture knowledge application server knowledge relational non relational database position eligible people disability rehabilitate preferred technical professional expertise position need professional following experience professional capable receive development demand deliver start finish product relate software development ability develop solution requirement datum modeling datum structuring architecture implementation communication server database internal external service experience agile methodology preferably scrum understand different type software requirement knowledge object orient programming knowledge software architecture knowledge application server knowledge relational non relational database business unit ibm services team business strategy technology consultant design build run foundational system service backbone world economy ibm services partner world lead company 170 country build smart business reimagine reinvent technology outcome focus methodology industry lead portfolio world class research operation expertise lead result drive innovation endure excellence life ibm matter look career challenge maybe want involve work change world incredible diverse career development opportunity truly discover passion look culture openness collaboration trust voice ibm career challenge join well attempt thing think possible impact inclusion infinite experiences good work ibm ibm great invention ibmer believe progress progressive thinking progressive leadership progressive policy progressive action ibmer believe application intelligence reason science improve business society human condition restlessly reinvent 1911 large technology consult employer world 380000 ibmer serve client 170 country location statement additional information location requirement discuss recruiter follow submission application ibm ibm commit create diverse environment proud equal opportunity employer qualified applicant receive consideration employment regard race color religion gender gender identity expression sexual orientation national origin genetic pregnancy disability age veteran status characteristic ibm commit compliance fair employment practice citizenship immigration status
2049,flutter developer experience 1 3 year openings 2 send cv jobsmanektechcom skills minimum 6 month 1 year time mobile development experience ios android flutter experience flutter experience dart experience launch manage production mobile app experience author testing deploy code mission critical application basic database concept oop concepts data structures experience develop integration common api eg firebase google etc awareness android ios platform late versions feature late os version
2050,ios developer graduate min 3 year work experience job type time salary  1500000  2500000 month schedule monday friday weekend experience work 1 year preferred total work 1 year preferred ios 1 year preferred education bachelor preferred programming languages need objective c preferred benefit health insurance pay leave leave encashment industry customer service
2051,database administrator database administrator dba passionate postgresql database datum problem relish opportunity tune database optimize query design schema write report ve encounter query fast big datum doe scare comfortable work highly available highly transact production database datum analytic ve work open source database comfortable keen learn new database technology enjoy work fast pace environment tie technology love to date new trend role fun fast pace highly collaborative team deliver new platform functionality stability performance improvement work postgresql greenplum database work closely software engineering team implement new database feature write complex sql statement review datum definition update work analytic business team optimize query create ad hoc report work initiative database administration include backup scripting processing datum datum warehouse redundancy replication high availability strategy work member engineering team maintain great 9999 platform uptime ensure query run optimally verse tableau extract creation location position ideally base house san francisco headquarters flexibility consider right candidate responsibility manage maintain troubleshoot database datum model support business web datum warehouse application ensure service operational 24x7x365 work team member tune postgresql database meet new functional performance release resolve complex database problem research analysis expertise perform database monitor maintenance reorganization resource management schema management capacity planning work analytic team create optimize query report manage maintain tableau analytic infrastructure qualification strong desire learn rdm large datum set experience postgresql tableau greenplum strong unix linux knowledge experience scripting language bash python perl ability provide support development test production environment ability work independently solution focus detail orientate excellent interpersonal communication skill oral write english desire experience knowledge bs degree computer science knowledge postgresqltableau greenplum technology passion datum experience postgresql streaming replication passion new trend feature datum community able bring good practice solve database overall application relate problem avid open source supporter u switchfly comprehensive enterprise saas provider travel loyalty solution flexible white label platform power personalize feature rich localize website global brand travel financial service ecommerce continually improve high availability high traffic solution client switchfly technology power user experience global brand core business build technology solution grow client business make daily life switchfly reward employee switchfly dedicate success offer competitive compensation comprehensive benefit package convenient downtown san francisco location walking distance bart muni montgomery street station caltrain ferry building emphasize teamwork get thing   people consistently team member vote reason motivate switchfly offer employee chance work smart fun people exciting project sizable opportunity growth intensely drive smart result focused thrive open collaborative team environment let talk
2052,software engineer 17931 software development engineer ii open position type time locations inbangalore office1 position detail overall 3 8 year hands experience java 1  year experience building interface mulesofts esb platform btech bs computer science related technical field equivalent practical experience interpreting requirement develop mule service integration adherence development integration practice mulesoft development good practice develop restful api raml mulesoft mulesoft anypoint platform api api manager hand experience expertise building interface mule connector adapter mulesofts esb platform good hand experience write raml swagger implement development multiple interface service connect internal external soap rest web service develop build deploy test mulesoft application good communication skill
2053,flutter developer build android andor ios app flutter proven work experience software development working experience mobile development publish mobile app google play app store experience party library api working knowledge general mobile landscape architecture trend emerge technology solid understanding mobile development life cycle include automate testing building experience work agile development process proficient version control continuous integration tool git jenkins write clear maintainable testable code proud good communication skill english job type time schedule day shift flexible shift experience flutter 1 year preferred software development 2 year preferred android ios development 1 year preferred education bachelor preferred industry software development work remotely temporarily covid19
2054,machine learning amd change amd push boundary possible believe change world well drive innovation high performance computing graphic visualization technology building block gaming immersive platform data center develop great technology take talent take amazing people understand collaboration respect extra mile achieve unthinkable result take people passion desire disrupt status quo push boundary deliver innovation change world type passion invite look opportunity available come join team amd change amd push boundary possible believe change world well drive innovation high performance computing graphic visualization technology building block machine learning gaming immersive platform data center develop great technology take talent take amazing people understand collaboration respect extra mile achieve unthinkable result take people passion desire disrupt status quo push boundary deliver innovation change world type passion encourage look opportunity available come join team machine learning performance engineer amd seek expert machine learn background framework pytorch tensorflow machine learning workload successful candidate passion machine learning algorithm understand mapping machine learning workload cnns transformer bert recommendation model cpu gpu architecture highly visible position opportunity work closely team amd impact mlperf optimization amd hardware software architecture opportunity define generation algorithmic software optimization machine learn training conduct depth performance analysis workload present design implementation choice work internal amd team external customer understand develop software optimization machine learn framework level pytorch tensorflow drive development product definition customer interaction lead development amd well class machine learning platform develop machine learn software optimization specific amd gpu platform good applicant ms equivalent experience field associate machine learn algorithm framework candidate additional experience architecture give preference expertise pytorch tensorflow experience standard machine learning model resnet50 transformer ssd bert dlrm reinforcement learning experience performance tool nvprof rocprof familiarity large scale execution machine learning model cluster connect ethernet infiniband li st1 requisition number 81341 country india state karnataka city bangalore job function design
2055,network administrator network administrator graduate min 2 year look network engineer responsible maintain administer college computer network primary duty include maintenance computer network hardware software related system perform disaster recovery operation protect datum software hardware attack replace faulty network hardware component necessary 13 03 2020
2056,javascript developer store help architect design build deploy js application end development initiatives bridge ux engineering implement fe solution deliver beautiful readable code time measure application loading time optimise app perform well throttle network include offline network inspire mentor colleague learn new everyday fit bill 2 4 year experience javascript bachelor degree computer science equivalent experience depth understanding se good practice es6 javascript design patterns experience js mv js tdd bdd dependent library know use solid analytical skill commitment quality excited build js app scratch passion promote js experience html5 css3 excellent write verbal communication skill strong organizational presentation ability strong problem solve capability solid understanding modern developer tool thirst knowledge good 3  year experience candidate excellent pure javascript skill plus leadership experience
2057,network administrator company description positioned publicis groupe core epsilon leader interaction management empower brand transform ordinary customer experience meaningful human experience connected suite product service epsilon combine lead edge identity management industrial strength datum technology expertise big brand acuman gain decade work industry brand human power data lead marketing deliver unmatched depth breadth scale help brand turn meaningful human interaction exceptional business outcome information visit httpsindiaepsiloncom follow social linkedin facebook instagram twitter job description responsible design development implementation network service technology meet client enterprise requirement primary objective identify optimal networking communication solution deliver long term capability capacity reliability resiliency enterprise client successfully maintain grow business client operation duty responsibility lead preferably level role involve understand client enterprise technical requirement design deploy optimal networking connectivity solution enable client enterprise achieve operational business goal require prepare recommendation support detail formal project proposal network connectivity configuration day day interaction telecom provider equipment supplier 3rd party network vendor engage technical resource perform task role require support scheduling attendance maintenance window resource expect routinely call analyze interpret traffic utilization service network connection participation disaster recovery exercise pre production certification testing troubleshooting event expect coordinate internal operation meet exceed datum communication project expectation include limit engineering development certification testing network operations capacity planning production readiness accountable resolve project level cross functional partnership issue escalation manage client expectation datum communication connectivity related service epsilon product application projects lifecycle client expectation include functionality cost delivery schedule support readiness relationship usually work directly senior level technical resource project manager business decision maker qualification high organizational skill ability handle multi task meet deadline ability work efficiently productively minimal direction guidance capable exercise extreme discretion independent judgment ability handle extremely confidential information professional manner ability communicate verbally write high level confidence travel  20 year ms office skill focus visio word excel education experience college degree comparable certification telecommunication computer science related field prefer minimum seven year experience require design planning coordination implementation technology project experience troubleshooting complex multi vendor geographically separate network experience administrate authentication control radius rsa secureid tacacs enterprise experience implement maintain encryption technique standard 3de pki md5 ssh ssl client site site configuration operational level knowledge experience deployment maintenance service provider network route architecture protocol ospf bgp eigrp rip expert knowledge implement support switch network include vtp stp hsrp trunking vlan port security monitoring multi vendor environment understanding logical network design include dmz wans client connectivity solution require depth knowledge tcp ip communication protocol lan man wan environment thoroughly proficient following protocol technology route manipulation redistribution summarization route filtering policy routing vpn client site site ethernet switching ios junos switch configuration vlan trunking spanning tree hsrp vrrp ios feature pat nat snmp net flow qos security server protocol scp sftp https etc traffic filtering access list radius tacacs ios vpn ipsec pix asa firewall checkpoint firewall ids ips vpn concentrators solarwinds orion ncm cisco routersasr 29003900 catalyst 6500 4500 nexus model switch citrix netscaler f5 load balancer gtm infoblox dns cisco nexus juniper switch router engineer knowledge cloud technology aws azure automation script knowledge tool like phyton ansible add asset engineer role require strong communication skill role require strong project management skill role require operational process technical foundation preferred following certification plus ccna ccnp ccie itil service management typical physical demand require sit stand bend stoop reach require heavy lifting 75 pound maximum carry 50 pound time require manual dexterity sufficient operate standard office machine computer printer copier telephone office equipment require normal range hearing vision typical mental demand able deal stress associate fast pace work environment multiple priority task judgment decision adapt change work situation grasp apply new idea communicate personality level working conditions work typical office setting require perform work data center occasionally call work hour excess normal daily schedule conclusion position description intend convey information essential understand scope position intend exhaustive list skill effort duty responsibility working condition associate position work timings engineer willing work 24 7 365 rotational shift static 0430 ist 0130 pm ist shift monday friday weekend support rotational basis additional information
2058,php developer work laravel php lead developer good understanding backend laravel api development require candidate atleast 1 year work experience laravel fair html javascript knowledge job type time salary  24000000 year experience software development 1 year required work 1 year preferred total work 1 year preferred education bachelor preferred work remotely temporarily covid19
2059,stack developer stack web developer deliver customer peace mind day help protect value passion place customer center drive transformational shift liberty mutual operating tech startup fortune 100 company lead digital disruption redefine people experience insurance look stack developer join fully scale agile team develop cut edge product improve way people experience insurance job role working eclaim application high visibility product grow day customer familiar comfortable web base application submit manage action claim combine late architecture tool technology enable empower learn discover replace component grow team able work new stack technology include react redux expressjs mongo lot trust developer enable work autonomously stay forefront emerge technology desire development skill experience javascript framework single page application spa react angular ember backbone experience follow es6 babel query language graphql javascript runtime nodejs expressjs jira ide like webstorm sublime eclipse html 5 css 3 java api restful web service jax rs xml unit testing framework ie jest karma chai mocha behavior drive development bdd yadda cucumber enzyme functional test framework webdriverio selenium exposure continuous integration continuous delivery concept bamboo jenkin agile scrum development methodology believe great job happy work life offer workplace flexibility wellness perk collaborative workspace sit stand desk career development program class diversity inclusion program commuter benefit adoption assistance college saving plan education reimbursement hackathon event liberty mutual wa name 2016 great place work great place work u info benefit benefit information learn tech liberty mutual search job check tech liberty mutual youtube playlist video job technology primary location united states massachusetts boston schedule time salary  83000  104600
2060,java developer stack java engineer cognizant digital engineering like get big idea cognizant explore new idea day help industry lead company reinvent business model innovate product create new value connect people thing insight experience cognizant digital engineering design engineer deliver digital product experience drive digital business model offer comprehensive digital engineering expertise client centric methodology sustainable innovation cognizant digital engineering design software transcend digital technology go fulfillment basic requirement focus instead human need cognizant digital engineering help client develop software product transform human insight tangible production ready digital solution work client scale native cloud application insight lived experience consumer seamlessly replace traditional service strategy engage precise direct digital application design phenomenal software vital success digital economy understand human centric approach key design legally authorize work united states need employer sponsorship time future job summary cognizant digital engineering practice seek highly qualified java engineer experience develop build high perform scalable enterprise application talented software team work mission critical application passion high quality reliable maintainable code comfortable work product manager designer client make decision order quickly deliver valuable working software client user agile retrospective afraid identify wrong fix right improve judge success success team happiness customer day day responsibility java java ee spring microservice api development provide expertise software development lifecycle concept design testing designing develop deliver high volume low latency application mission critical system write design testable efficient code ensure design compliance specification support continuous improvement investigate alternative technology communicate architectural review key qualifications strong understanding java 8 microservices spring boot api development aws proficient core java j2ee technology spring framework hands experience development restful web service spring boot base microservice aware cicd tool like jenkins docker etc knowledge commonly ide like eclipse etc unix script excellent communication skill participate actively team meeting discussion specialist object orient analysis design common design pattern define site objective analyze user requirement envision system feature functionality enhance organization reputation accept ownership accomplish request explore opportunity add value job accomplishment choose cognizant take lot succeed today fast pace market cognizant technology solutions leader industry love big idea big dream stand human experience core associate enjoy robust benefit training opportunity industry recognize award win academy team access hundred technical training skillset fresh opportunity acquire certification new technology cognizant passion client community organization define attribute look people love ambiguity excite change excel autonomy love hear cognizant headquartered us cognizant member sp500 nasdaq100 fortune 200 recently rank 1 fastest grow star fortune magazine cognizant use highly flexible business model detailed global delivery network deep domain expertise deliver long list good class company leader space cognizant recognize military friendly employer coalition member veteran jobs mission cognizant veterans network assist veterans build grow career cognizant allow demonstrate leadership loyalty integrity commitment quality instill participation military service cognizant equal opportunity employer provider commit create diverse environment cognizant consider applicant regard race creed color national origin ancestry age marital status disability sexual orientation preference veteran status classification protect state federal local law wwwcognizantcom nasdaq ctsh li tk1 cb remote ind123 employee status time employee shift day job travel job posting oct 28 2020 cognizant cognizant nasdaq100 ctsh world lead professional service company transform client business operating technology model digital era unique industry base consultative approach help client envision build run innovative efficient business headquarter us cognizant rank 194 fortune 500 consistently list admired company world learn cognizant help client lead digital wwwcognizantcom follow usjobscognizant cognizant recognize military friendly employer coalition member veteran jobs mission cognizant veterans network assist veterans build grow career cognizant allow leverage leadership loyalty integrity commitment excellence instill participation military service cognizant equal opportunity employer qualified applicant receive consideration employment regard sex gender identity sexual orientation race color religion national origin disability protect veteran status age characteristic protect law disability require reasonable accommodation search job opening submit application email careersna2cognizantcom request contact information
2061,machine learning experience machine learning nlp information retrieval recommender system hands experience statistical machine learning model building validation decision tree linear logistic regression support vector machine algorithm programming knowledge python r nosql database use technique artificial intelligence machine learning solve supervised unsupervised learning problem develop implement solution fit business problem include apply algorithm standard statistical tool custom algorithm development excellent write verbal communication skill prove ability work pressure team environment self motivate flexible responsible penchant quality minimum qualification btech be computer science electronics mca computer diploma development 3  year experience compulsory
2062,machine learning machine learning deep tech programming c c natural language processing speech recognition computer vision reinforcement learning ide like eclipse intellij component python java scala expert mathematical skill knowledge cloud application computer language big data platform tool include hadoop pig hive spark mapreduce structure query language sql python scala perl experience 2  year job types time walk salary  1500000  2000000 month experience machine learning 1 year preferred work 1 year preferred total work 1 year preferred education secondary10th pass preferred work remotely
2063,ios developer y media labs creative technology company help brand imagine customer experience mission export silicon valley mindset rest world create digital product purpose lasting impact user life client business team dreamer doer unite simple idea difference customer difference business work 2009 lead early stage startup tier brand wow customer good class digital product experience wall street journal call yml innovative company silicon valley generation technology world class design help brand like apple paypal loreal home depot kaiser permanente state farm republic bank etc develop solution drive major business outcome found 2009 y media labs headquarter silicon valley office worldwide include atlanta indianapolis bangalore sao paulo come age invention app store mobile dna create solution digital ecosystem unlike agency bear desktop deeply connected consumer perception shift thank mobile lifestyle build launch 207 product delight 407 million user build 200  app work 30 fortune 500 client responsible 400 billion transaction work generate  200 billion transaction client feature app store 700  time portfolio work find ymedialabscomwork live look engineering team mediumcomymedialabsinnovation live look design team dribbblecomymedialab team bangalore close 180 strong grow variety way goal include culture excellence look transform team good tech team bangalore look hire multiple ios engineers different level help code world class app create mobile engineer look build app million consumer worldwide build app brand proud family friend need join key responsibility design build advanced high quality application ios platform ensure performance quality responsiveness application code review automate unit testing documentation code write deal ambiguity work rapidly evolve environment time sensitive project deadline matter plan work meet deadline maintain code quality involve client interaction gather project requirement lead product initiative work generation prototype work engineer product management qa operation team develop meet functional non functional requirement work environment agile test drive fast feedback cycle continuous integration unit functional integration acceptance testing learn adapt new technology bring new idea technology team improve product process depend level skill maturity seniority mentor engineer look strong foundation computer science fundamental like datum structure algorithm software engineering principle passionate create great code proficient swift andor objective c understanding end end mobile development life cycle experience late ios framework experience database like realm coredata etc experience party library cocoapods experience memory management cache mechanism solid understanding apple design principle interface guideline experience performance memory tuning tool instruments experience code restful api connect ios application end service great team player work collaborative situation experience android app development major plus experience cross platform tool advantage experience tool like git jira basecamp bitbucket azure devops advantage good experience work iot project bluetooth technology working knowledge general mobile landscape architecture trend emerge technology active open source github stack overflow contribution big plus publish personal app play store add advantage work home related give current situation expect work home extend period reality continue month able fulfil following requirement high speed broadband connection able provide evidence proper work environment home like desk chair require infrastructure able willing attend video call workday job perks awesome work environment opportunity work great mind work fun team project impact million people 100 reimbursement job growth relate course complete udemy 24x7 stock pantry snack coffee tea highly subsidized lunch
2064,software engineer constantly change world work people client community enable fulfill potential great thing believe bring solve problem innovative technology create world sustainable secure ntt encourage remain continuously curious keep fast flexible relevant day help grow realize potential power hand great thing time lead change authentic solve difficult challenge set pace change unleash potential want team javascript developer proficient reactjs work nttas project work ntt look javascript developer proficient reactjs primary focus develop user interface component implement follow know reactjs workflow flux redux ensure component overall application robust easy maintain coordinate rest team work different layer infrastructure commitment collaborative problem solve sophisticated design quality product important responsibility 1 develop new user face feature reactjs 2 build reusable component end library future use 3 translate design wireframe high quality code 4 optimize component maximum performance vast array web capable device browser skills 1 strong proficiency javascript include dom manipulation javascript object model 2 thorough understanding reactjs core principle 3 experience popular reactjs workflow flux redux 4 familiarity restful api 5 knowledge modern authorization mechanism json web token 6 familiarity modern end build pipeline tool 7 experience common end development tool babel webpack npm etc 8 ability understand business requirement translate technical requirement 9 familiarity code versioning tool like git 10 good understanding agile waterfall development process 11 knowledge tdd work scrum team 12 fundamentally strong computer science aware late development trend 13 quality conscious seek continuous improvement 14 able present solution team detailed code review good fit role kra kpis 1 defect free code high quality output 2 timely delivery project 3 team player work self improvement join grow global team accelerate career apply today equal opportunity employer ntt proud equal opportunity employer global culture embrace diversity commit provide environment free unfair discrimination harassment discriminate base age race color sex religion national origin disability pregnancy marital status sexual orientation gender reassignment veteran status protect category
2065,java developer overview overview axle informatics scientific research information technology company offer innovative computer service informatic bioresearch solution research center healthcare organization globe expert software engineering bioinformatics molecular research program management focus develop apply technological tool scientific technique empower world research work research organization facility country include multiple institute national institutes health nih mean candidate receive good job training possible field axle seek highly ambitious adaptable structured detail orient stack developer join vibrant team bethesda md responsibility provide expertise broad range skill include limit cloud architecture infrastructure application development database management translate client requirement technical design determine appropriate technology solution oversee development technical review implementation integrate system fit specific client need component subsystem interact coordinate data science engineering team reach singular unified goal active role development process deliver solution challenge problem maintain comprehensive holistic view system wide platform design implement solution qualifications bachelor degree computer science data science bioinformatics related field year work experience consider lieu degree 3  year experience work javascript python java c c large plus 3  experience multiple cloud service aws gcp azure experience following prefer typescript nodejs angular 6  sql database mysql postgresql nosql database mongodb cassandra container container orchestration tool docker kubernetes devops tool jenkins travisci high level education consider lieu relevant work experience demonstrate ability quickly learn adopt new technology critical thinking problem solving attention detail communication soft skill familiarity work agile environment benefit pay time pto 10 paid federal holiday generous health coverage provide monthly premium employee generous vision dental coverage provide monthly premium employee short long term disability coverage pay company basic life add coverage pay company option purchase additional coverage 401k significant company match vest period competitive salary performance bonus opportunity discount plan pet care legal service identify theft protection flexible spending accounts healthcare fsa parking reimbursement account prk dependent care assistant program dcap transportation reimbursement account trn diversity axle employee tremendous asset firmly committed provide equal opportunity aspect employment tolerate illegal discrimination harassment base age race gender religion national origin disability marital status cover veteran status sexual orientation status respect public assistance characteristic protect state federal local law deter aid abet induce discrimination coerce discriminate accessibility need accommodation employment process contact email careersaxleinfocom disclaimer description mean illustrate general nature work level effort perform individual assign position job description restrict complete list skill responsibility duty andor assignment require individual require perform duty outside position job description responsibility need
2066,java developer greetings 1crore project look java developer experience build high perform scalable enterprise grade application responsibility design develop high volume low latency application mission critical system deliver high availability performance contribute phase development lifecycle writing design testable efficient code job types time fresher education graduate specialization interested candidates forward resume 1croreprojectsatgmaildotcom address 1crore project door 68 70 ground floor rahaat plaza opp vijaya hospital arcot rd vadapalani chennai tamil nadu 600026 contact j velmurugan team lead 7904320834 contract length 12 month job types time contract salary  800000  1000000 month schedule day shift supplemental pay performance bonus yearly bonus experience work 1 year preferred total work 1 year preferred education secondary10th pass preferred programming languages need c preferred
2067,software engineer overview base silicon valley tintri wholly own subsidiary datadirect networks ddn data scale powerhouse world large privately hold storage company tintri solution serve need enterprise datum centre intelligent infrastructure product portfolio include advanced technology tintri acquire september 2018 nexenta acquire 2019 intelliflash acquire western digital november 2019 portfolio offer fresh choice new experience elevate user experience automation analytic insight tight integration application workflow enterprise application include mission critical database business application virtualization flexible software define solution learn tintri portfolio solution httpswwwtintricomproduct tintri look motivated passionate individual self motivated work career value thrive environment collaboration teamwork good quest provide game change storage solution job description job location pune red software engineer qa responsibility job description work global team stakeholder understand requirement define product release qa strategy participate definition high quality product validation plan prepare test datum execute test review evaluate result develop use case ensure functional feature test requirement capture design development phase define maintain verification job continuous integration tool functional performance metric analysis storage software infrastructure product support appropriate technical meeting scrum message progress status concern skills experience minimum 3 year experience software quality assurance file system server architecture hpc distribute system security security testing tsl api development test finished product python programming strong grasp experience sw test design execution automation metric strong knowledge software scripting python c particularly linux unix computing environment experience follow traditional storage protocol eg cifs nfs iscsi work datum storage concept raid scsi fc file system designing develop executing maintain test case procedure apply qa lifecycle methodology white box black box functional combinatorial testing good write verbal communication skill english minimum bs ms computer engineering computer science related technical field experience testing management tool ie jira rally experience git gerrit jenkins agile software development tool process plus candidate eligible work location advertise valid visa work permit
2068,stack developer job description oppenheimerfund ofi look stack developer understand importance maintainable code comprehensive test value simple restful service join investment risk technology team critical member team work visible project stake holder join u chance help shape future portfolio management platform oppenheimerfund pragmatic approach architectural technology choice hope pair program follow test drive development know deliver remarkable result core infrastructure run spring boot spring datum spring cloud service frontend use react deploy application cloud foundry responsibility deliverable responsible end development write robust end code react framework library automate test tool like selenium junit jasmine mocha chai test drive development framework develop end code java spring boot
2069,database administrator graduation bachelor degree accredit college university major course work field relate job plus 4 year experience relate field experience substitute education 4 year license certification note applicant position ha reposte previously apply database administrator sr position job requisition number coa077220 need reapply post consider position austin police department look experience dedicated senior dba skill datum analysis datum model datum integration datum warehouse interested support public safety position provide datum support apd info system team responsible high level analytic information technology integration datum system development maintenance development oversight business intelligence system microstrategy role work directly customer outside team position write extraction transform load etl ssis task etl process important information detail complete employment application require help u well evaluate qualification determine salary select position list complete employment history include job duty responsibility employment date online application application official document incomplete application consider eg resume link profile response supplemental question reflect application resume qualify position recommend salary select candidate require complete skill assessment position eligible employer sponsorship work relate visa applicant currently authorize work time basis employer sponsorship pay range  3610  4771 hourly rate hour monday friday 800 am 500 pm hour vary depend business need job close date 08152018 type post external department police regular temporary regular grant fund pool position applicable category professional location 711 east 8th st austin texas prefer qualification oracle dba experience sql dba experience business intelligence application experience microstrategy experience datum analysis datum model datum integration datum warehousing experience etl extraction transform load operation fact table duty function responsibility essential duty function pursuant american disability act include follow related duty assign 1 design analyze troubleshoot resolve advanced operational performance relate database issue coordinate change maintain database structure assist develop policy procedure design ensure integrity database environment 2 design coordinate implement determine procedure necessary save recover production database recover database hardware software failure 3 perform database performance monitor auditing implement efficiency improvement modify exist database database management system 4 design configure implement database network connectivity working require technical team 5 monitor capacity versus utilization recommend appropriate action timely basis avoid performance degradation 6 create database database object table index view trigger store procedure 7 track database asset critical information asset 8 assist development datum security standard ensure datum integrity datum security 9 maintain datum standard prepare develop database documentation procedure definition datum dictionary 10 create test database environment application section include creation necessary library procedure 11 install new software release andor upgrade include research testing implement new technology responsibility supervision andor leadership exercise provide leadership work assignment evaluation training guidance knowledge skill ability posse require knowledge skill ability experience able explain demonstrate reasonable accommodation essential function job perform knowledge industry department good practice requirement policy procedure knowledge advanced principle practice technique secure computer programming system design computer operation system procedure knowledge advanced database structure theory knowledge current database technology knowledge oracle sqlserver database tool environment query language sql tsql knowledge statistical analysis process skill develop report cross reference datum dictionary skill perform datum model prototype implement efficiency improvement skill database debug testing troubleshoot technique ability write extraction transform load etl ssis task extraction transformation loading etl process ability gather assemble correlate analyze fact ability perform root cause analysis ability ass future information need database evolve appropriate manner doe job require criminal background investigation position require criminal background investigation eeo ada city austin commit compliance american disability act require reasonable accommodation application process question essential job function 512 974 3210 tty 512 974 2445 city austin discriminate applicant employee base race creed color national origin sex gender identity age religion veteran status disability sexual orientation addition city discriminate employment decision basis individual aid aid relate complex hiv status city discriminate individual perceive risk hiv infection associate individual believe risk information city employee employee department good standing meet minimum preferred qualification receive initial interview
